Date,Hour,Month,DayOfWeek,WeatherConditions,Calls
01/01/2019 00:00:00,1,1,Tuesday,good,1
01/01/2019 00:00:00,2,1,Tuesday,good,1
01/01/2019 00:00:00,3,1,Tuesday,good,7
01/01/2019 00:00:00,4,1,Tuesday,good,4
01/01/2019 00:00:00,5,1,Tuesday,good,18
01/01/2019 00:00:00,6,1,Tuesday,good,23
01/01/2019 00:00:00,7,1,Tuesday,good,41
01/01/2019 00:00:00,8,1,Tuesday,good,68
01/01/2019 00:00:00,9,1,Tuesday,good,84
01/01/2019 00:00:00,10,1,Tuesday,good,82
01/01/2019 00:00:00,11,1,Tuesday,good,88
01/01/2019 00:00:00,12,1,Tuesday,good,82
01/01/2019 00:00:00,13,1,Tuesday,good,77
01/01/2019 00:00:00,14,1,Tuesday,good,53
01/01/2019 00:00:00,15,1,Tuesday,good,37
01/01/2019 00:00:00,16,1,Tuesday,good,14
01/01/2019 00:00:00,17,1,Tuesday,good,13
01/01/2019 00:00:00,18,1,Tuesday,good,4
01/01/2019 00:00:00,19,1,Tuesday,good,1
01/02/2019 00:00:00,0,1,Wednesday,good,1
01/02/2019 00:00:00,2,1,Wednesday,good,1
01/02/2019 00:00:00,3,1,Wednesday,good,3
01/02/2019 00:00:00,4,1,Wednesday,good,8
01/02/2019 00:00:00,5,1,Wednesday,good,11
01/02/2019 00:00:00,6,1,Wednesday,good,26
01/02/2019 00:00:00,7,1,Wednesday,good,37
01/02/2019 00:00:00,8,1,Wednesday,good,48
01/02/2019 00:00:00,9,1,Wednesday,good,91
01/02/2019 00:00:00,10,1,Wednesday,good,94
01/02/2019 00:00:00,11,1,Wednesday,good,83
01/02/2019 00:00:00,12,1,Wednesday,good,89
01/02/2019 00:00:00,13,1,Wednesday,good,57
01/02/2019 00:00:00,14,1,Wednesday,good,51
01/02/2019 00:00:00,15,1,Wednesday,good,32
01/02/2019 00:00:00,16,1,Wednesday,good,27
01/02/2019 00:00:00,17,1,Wednesday,good,8
01/02/2019 00:00:00,18,1,Wednesday,good,2
01/02/2019 00:00:00,19,1,Wednesday,good,3
01/02/2019 00:00:00,20,1,Wednesday,good,3
01/03/2019 00:00:00,1,1,Thursday,good,1
01/03/2019 00:00:00,3,1,Thursday,good,2
01/03/2019 00:00:00,4,1,Thursday,good,4
01/03/2019 00:00:00,5,1,Thursday,good,12
01/03/2019 00:00:00,6,1,Thursday,good,20
01/03/2019 00:00:00,7,1,Thursday,good,34
01/03/2019 00:00:00,8,1,Thursday,good,55
01/03/2019 00:00:00,9,1,Thursday,good,74
01/03/2019 00:00:00,10,1,Thursday,good,93
01/03/2019 00:00:00,11,1,Thursday,good,86
01/03/2019 00:00:00,12,1,Thursday,good,84
01/03/2019 00:00:00,13,1,Thursday,good,74
01/03/2019 00:00:00,14,1,Thursday,good,47
01/03/2019 00:00:00,15,1,Thursday,good,40
01/03/2019 00:00:00,16,1,Thursday,good,17
01/03/2019 00:00:00,17,1,Thursday,good,14
01/03/2019 00:00:00,18,1,Thursday,good,10
01/03/2019 00:00:00,20,1,Thursday,good,2
01/04/2019 00:00:00,2,1,Friday,good,1
01/04/2019 00:00:00,3,1,Friday,good,4
01/04/2019 00:00:00,4,1,Friday,good,11
01/04/2019 00:00:00,5,1,Friday,good,19
01/04/2019 00:00:00,6,1,Friday,good,32
01/04/2019 00:00:00,7,1,Friday,good,45
01/04/2019 00:00:00,8,1,Friday,good,78
01/04/2019 00:00:00,9,1,Friday,good,91
01/04/2019 00:00:00,10,1,Friday,good,94
01/04/2019 00:00:00,11,1,Friday,good,126
01/04/2019 00:00:00,12,1,Friday,good,128
01/04/2019 00:00:00,13,1,Friday,good,107
01/04/2019 00:00:00,14,1,Friday,good,80
01/04/2019 00:00:00,15,1,Friday,good,54
01/04/2019 00:00:00,16,1,Friday,good,27
01/04/2019 00:00:00,17,1,Friday,good,12
01/04/2019 00:00:00,18,1,Friday,good,9
01/04/2019 00:00:00,19,1,Friday,good,3
01/04/2019 00:00:00,20,1,Friday,good,1
01/04/2019 00:00:00,21,1,Friday,good,1
01/05/2019 00:00:00,0,1,Saturday,bad,1
01/05/2019 00:00:00,2,1,Saturday,bad,2
01/05/2019 00:00:00,3,1,Saturday,bad,1
01/05/2019 00:00:00,4,1,Saturday,bad,3
01/05/2019 00:00:00,5,1,Saturday,bad,12
01/05/2019 00:00:00,6,1,Saturday,bad,19
01/05/2019 00:00:00,7,1,Saturday,bad,44
01/05/2019 00:00:00,8,1,Saturday,bad,58
01/05/2019 00:00:00,9,1,Saturday,bad,84
01/05/2019 00:00:00,10,1,Saturday,bad,85
01/05/2019 00:00:00,11,1,Saturday,bad,81
01/05/2019 00:00:00,12,1,Saturday,bad,87
01/05/2019 00:00:00,13,1,Saturday,bad,82
01/05/2019 00:00:00,14,1,Saturday,bad,57
01/05/2019 00:00:00,15,1,Saturday,bad,42
01/05/2019 00:00:00,16,1,Saturday,bad,17
01/05/2019 00:00:00,17,1,Saturday,bad,18
01/05/2019 00:00:00,18,1,Saturday,bad,8
01/05/2019 00:00:00,19,1,Saturday,bad,1
01/05/2019 00:00:00,20,1,Saturday,bad,1
01/06/2019 00:00:00,2,1,Sunday,good,1
01/06/2019 00:00:00,4,1,Sunday,good,2
01/06/2019 00:00:00,5,1,Sunday,good,1
01/06/2019 00:00:00,6,1,Sunday,good,8
01/06/2019 00:00:00,7,1,Sunday,good,7
01/06/2019 00:00:00,8,1,Sunday,good,7
01/06/2019 00:00:00,9,1,Sunday,good,20
01/06/2019 00:00:00,10,1,Sunday,good,23
01/06/2019 00:00:00,11,1,Sunday,good,26
01/06/2019 00:00:00,12,1,Sunday,good,25
01/06/2019 00:00:00,13,1,Sunday,good,15
01/06/2019 00:00:00,14,1,Sunday,good,13
01/06/2019 00:00:00,15,1,Sunday,good,7
01/06/2019 00:00:00,16,1,Sunday,good,5
01/06/2019 00:00:00,17,1,Sunday,good,2
01/06/2019 00:00:00,19,1,Sunday,good,1
01/07/2019 00:00:00,2,1,Monday,good,2
01/07/2019 00:00:00,3,1,Monday,good,3
01/07/2019 00:00:00,4,1,Monday,good,9
01/07/2019 00:00:00,5,1,Monday,good,14
01/07/2019 00:00:00,6,1,Monday,good,29
01/07/2019 00:00:00,7,1,Monday,good,43
01/07/2019 00:00:00,8,1,Monday,good,75
01/07/2019 00:00:00,9,1,Monday,good,90
01/07/2019 00:00:00,10,1,Monday,good,115
01/07/2019 00:00:00,11,1,Monday,good,130
01/07/2019 00:00:00,12,1,Monday,good,116
01/07/2019 00:00:00,13,1,Monday,good,93
